Date,User,Message
3/4/24 17:15,J,J님이 들어왔습니다.
3/4/24 17:18,경례하는 프로도,경례하는 프로도님이 들어왔습니다.
3/4/24 17:23,선풍기 바람 쐬는 어피치,선풍기 바람 쐬는 어피치님이 들어왔습니다.
3/4/24 17:23,gg,gg님이 들어왔습니다.
3/4/24 17:26,Ryan kneeling down,Ryan kneeling down님이 들어왔습니다.
3/4/24 17:28,12521💻💙,12521💻💙님이 들어왔습니다.
3/4/24 17:39,애교뿜뿜 무지,애교뿜뿜 무지님이 들어왔습니다.
3/4/24 17:40,애교뿜뿜 무지,애교뿜뿜 무지님이 나갔습니다.
3/4/24 17:42,Tube als Cheerleader,Tube als Cheerleader님이 들어왔습니다.
3/4/24 17:43,Tube als Cheerleader,Does Minum Square Method only work with shallow networks?
3/4/24 17:46,라면먹는 제이지,라면먹는 제이지님이 들어왔습니다.
3/4/24 17:49,.,.님이 들어왔습니다.
3/4/24 18:13,애교뿜뿜 무지,애교뿜뿜 무지님이 들어왔습니다.
3/4/24 18:18,초롱초롱 네오,초롱초롱 네오님이 들어왔습니다.
3/4/24 18:18,멋쩍은 튜브,출석체크는 없는건가여...? Are there no attendences?
3/4/24 18:19,씩씩거리는 무지,씩씩거리는 무지님이 들어왔습니다.
3/4/24 18:19,멋쩍은 튜브,앗 위에 있네요 죄송합니다
3/4/24 18:20,하트뽀뽀 어피치,위에가 안 보여서 그런데 답장이 뭐였나요?
3/4/24 18:20,부끄러워하는 라이언,출석체크 없다는 내용이었습니다
3/4/24 18:21,택배 상자를 든 네오,삭제된 메시지입니다.
3/4/24 18:22,한성재,한성재님이 들어왔습니다.
3/4/24 18:22,쑥스럽게 인사하는 프로도,"On the first week, we will have two make-up lectures on March 5th, 5:00–6:15pm at 28-301, and March 7th, 7:00–8:15pm at 28-101, to make up for absences planned later in the semester. These make-up lectures are in addition to the regular lectures on March 4th and March 6th, 5:00–6:15pm at 28-102."
3/4/24 18:22,쑥스럽게 인사하는 프로도,혹시 공지된 두번의 보충수업도 출석해야 하나요?
3/4/24 18:27,벙찐 튜브,Is there any textbook to learn?
3/4/24 18:30,.,.님이 들어왔습니다.
3/4/24 18:31,deee,deee님이 들어왔습니다.
3/4/24 18:34,열심히 일하는 네오,혹시 심수기 녹화강의는 언제쯤 올라오는지 알 수 있을까요?
3/4/24 18:42,TA Yongin,"톡게시판 '글 공유': Please refer to the class website for course materials:
https://ernestryu.com/courses/deep_learning.html"
3/4/24 18:42,마이크를 든 라이언,마이크를 든 라이언님이 들어왔습니다.
3/4/24 18:44,얼굴마사지하는 제이지,얼굴마사지하는 제이지님이 들어왔습니다.
3/4/24 19:08,경례하는 프로도,경례하는 프로도님이 들어왔습니다.
3/4/24 19:23,귀여운 라이언,귀여운 라이언님이 들어왔습니다.
3/4/24 19:26,멋쟁이 프로도,멋쟁이 프로도님이 들어왔습니다.
3/4/24 19:29,하트뿅뿅 라이언,"안녕하세요, 혹시 녹화본은 어디에 올라왔나요?"
3/4/24 19:30,먹보 네오,먹보 네오님이 들어왔습니다.
3/4/24 19:34,열심히 일하는 네오,Have a question about the homework. Is handwritten solution acceptable? Do we have to type it in LaTex? 
3/4/24 19:35,먹보 네오,"Hello,
Apologies in advance if i have missed it in class
But are the dates for the midterm and final exams available?"
3/4/24 19:36,애교뿜뿜 어피치,애교뿜뿜 어피치님이 들어왔습니다.
3/4/24 19:36,열심히 일하는 네오,삭제된 메시지입니다.
3/4/24 19:37,부끄러워하는 라이언,Look at class website
3/4/24 19:37,기지개 고양이,사진
3/4/24 19:37,기지개 고양이,"04/13 중간
06/21 기말"
3/4/24 19:51,General Trash,"학회 등의 사유로 인하여 시험에 응시하지 못할 경우, 따로 시험을 치르거나 대체과제를 부여받는 등의 조치가 가능할지 궁금합니다."
3/4/24 19:55,TA Jisun,"For the course material, homeworks, schedules for exams, and textbooks to refer to, please visit the class website for more details.

We accept handwritten homeworks, but please make sure that those pdf files are recognizable; There are some cases where the scan app does not work properly."
3/4/24 19:55,TA Jisun,"Could you send me an email?
colleenp0515@snu.ac.kr"
3/4/24 19:57,Joyful Apeach,Joyful Apeach님이 들어왔습니다.
3/4/24 20:03,엄지척 튜브,엄지척 튜브님이 들어왔습니다.
3/4/24 20:03,.,.님이 들어왔습니다.
3/4/24 20:09,피자 먹다 자는 무지,혹시 강의계획서에는 성적평가방법을 s/u로 선택가능하다고 적혀있던데 s/u로 변경 가능한가요?
3/4/24 20:10,눈물바다 라이언,강의 녹화본이 아직 올라오지 않은건가요?
3/4/24 20:35,궁시렁 프로도,궁시렁 프로도님이 들어왔습니다.
3/4/24 20:40,불나게 일하는 네오,불나게 일하는 네오님이 나갔습니다.
3/4/24 20:43,말썽쟁이 네오,말썽쟁이 네오님이 들어왔습니다.
3/4/24 20:51,Frodo leaving office,Frodo leaving office님이 들어왔습니다.
3/4/24 21:18,부끄러운 어피치,부끄러운 어피치님이 들어왔습니다.
3/4/24 21:30,TA kibeom,"Lecture recordings take a variable amount of processing time by Zoom, so the video upload schedule will not be consistent. In the past, the video has often become available before midnight, but we cannot make any guarantees. To ensure that you receive the lecture content in a timely and consistent manner, please attend the live lectures, either in person or over Zoom."
3/4/24 21:33,애교뿜뿜 무지,In what form will the lecture video be uploaded? Will it be uploaded on eTL?
3/4/24 21:39,신난 어피치,신난 어피치님이 들어왔습니다.
3/4/24 21:43,TA kibeom,"yes, the lecture videos will be uploaded on eTL."
3/4/24 22:13,기타치는 튜브,기타치는 튜브님이 들어왔습니다.
3/4/24 22:24,응원하는 튜브,응원하는 튜브님이 들어왔습니다.
3/4/24 22:26,응원하는 튜브,안녕하세요 조교님. 혹시 HW1 관련 질문을 이 톡방에서 해도 괜찮을까요?
3/4/24 22:47,TA chaeju,물론입니다
3/4/24 22:50,응원하는 튜브,"Hw1 P4,P5에서 라이브러리(numpy) import하는 것이 허용되는지 궁금합니다"
3/4/24 22:52,응원하는 튜브,"정확히 말하자면, 스켈레톤 코드에 import되지 않은 numpy 내부 다른 라이브러리를 여쭤보는 것입니다."
3/4/24 22:59,TA chaeju,"가능하지만, Hw1의 P5같은 경우 ""대부분의 entry가 0인 행렬 A와의 행렬곱을 어떻게 효율적으로 계산할 수 있는가?""에 관한 문제이므로, 문제 의도에 맞춰서 풀어주시면 되겠습니다."
3/4/24 23:01,Neo,"성적을 S/U로 받고 싶은데, 어디에 말씀 드리면 되나요?"
3/4/24 23:02,애교뿜뿜 무지,mysnu에서 전산상으로 가능하지 않나요?
3/4/24 23:04,애교뿜뿜 무지,"수업 > 성적평가방법변경신청
이용하시면 될 것 같습니다!"
3/4/24 23:04,Neo,감사합니디!
3/4/24 23:17,응원하는 튜브,넵 감사합니다
3/4/24 23:57,Is Ryu optimal?,Is Ryu optimal?님이 들어왔습니다.
3/5/24 0:01,휘파람 프로도,휘파람 프로도님이 들어왔습니다.
3/5/24 0:37,Tube als Cheerleader,Will the make-up lecture tomorrow have additional content than today? Should you also attend the make-up lecture if you don't plan on being absent throughout the semester?
3/5/24 0:40,부탁하는 네오,"What do you mean by 'additional content than today'? As I understood, the makeup lectures this week are for potential absence or holidays this semester, so that the total number of lectures this semester doesn't get affected."
3/5/24 0:41,Tube als Cheerleader,Whether the make-up lecture won't be a repetition of the lecture today or one in the semester. I.e. will it be worth going to make-up lectures if you go to all regular ones.
3/5/24 0:44,부탁하는 네오,"I understood that it's just a normal lecture(so you must attend), and the purpose of the makeup lectures is to catch up with the required number of lectures in the entire semester. I guess there is no need for repetition since all lectures are recorded and provided online."
3/5/24 0:45,부탁하는 네오,"Mon/Wed classes have three holidays this semester, if I am correct."
3/5/24 0:50,si3k9u82,si3k9u82님이 들어왔습니다.
3/5/24 0:57,Tube als Cheerleader,I see. Thank you!
3/5/24 1:03,멋쩍은 튜브,심수기 과제 .py 파일은 찾았는데 문제는 어디 있나요? I have found the .py files of this weeks hw but i cannot find the questions ㅠㅠ where are they?
3/5/24 1:04,멋쩍은 튜브,죄송합니다... homework도 눌러지네요
3/5/24 1:04,애교뿜뿜 무지,py 파일 옆에 pdf 파일 안에 1-5번 다 있을 겁니다 (inside the pdf file attached next to .py files)
3/5/24 1:19,말썽쟁이 네오,말썽쟁이 네오님이 들어왔습니다.
3/5/24 8:48,신난 어피치,신난 어피치님이 들어왔습니다.
3/5/24 10:25,Jay-G on the couch,Jay-G on the couch님이 나갔습니다.
3/5/24 10:40,음악듣는 어피치,음악듣는 어피치님이 들어왔습니다.
3/5/24 11:01,택배 상자를 든 네오,문제 3번에 rho(X^TX)>0인 조건이 있는 것인가요? 없을 경우 alpha=0이 되면 항상 수렴하는 것 같습니다.
3/5/24 11:11,빈털터리 제이지,빈털터리 제이지님이 들어왔습니다.
3/5/24 11:23,화나서 방방 뛰는 튜브,X^TX는 PSD입니다
3/5/24 11:28,인사하는 제이지,삭제된 메시지입니다.
3/5/24 11:46,부탁하는 무지,부탁하는 무지님이 들어왔습니다.
3/5/24 12:01,.,.님이 들어왔습니다.
3/5/24 12:07,즐거운 네오,즐거운 네오님이 들어왔습니다.
3/5/24 12:21,기지개 고양이,"2, 3번 문제의 경우 θ가 발산함을 보이라는 건가요, f(θ)가 발산함을 보이라는 건가요?"
3/5/24 12:23,TA Hyojun,theta_k가 발산함을 보이시면 됩니다
3/5/24 12:31,기지개 고양이,감사합니다!
3/5/24 12:32,열심히 일하는 네오,열심히 일하는 네오님이 들어왔습니다.
3/5/24 12:58,애교뿜뿜 어피치,애교뿜뿜 어피치님이 들어왔습니다.
3/5/24 13:26,응원하는 튜브,"과제 제출 양식(파일 형식 및 파일명)이 어떻게 될까요? 
답안 필기를 pdf 첨부 및 P4, P5에 대해 작성한 코드 파일을 그대로 첨부하면 될까요?"
3/5/24 13:28,응원하는 튜브,"또한 P4에서 'Experimentally demonstrate' 라고 나와있는데, 그럼 해당 learning rate에서 수렴 및 발산하는 analytic한 이유를 기술할 필요가 없다고 생각해도 괜찮을까요?"
3/5/24 14:08,베개를 부비적대는 라이언,오늘 수업 대면으로도 진행되나요?
3/5/24 14:10,부탁하는 네오,"홈페이지 가보면 On the first week, we will have two make-up lectures on March 5th, 5:00–6:15pm at 28-301, and March 7th, 7:00–8:15pm at 28-101, to make up for absences planned later in the semester. These make-up lectures are in addition to the regular lectures on March 4th and March 6th, 5:00–6:15pm at 28-102.라고 나와있네요"
3/5/24 14:14,베개를 부비적대는 라이언,아 그렇네요 감사합니다
3/5/24 14:17,Ernest Hemingway,Ernest Hemingway님이 들어왔습니다.
3/5/24 14:57,엄지척 제이지,"과거/이번학기 학점(A-F, S/U) 커트라인을 알 수 있을까요?"
3/5/24 15:14,눈물바다에 빠진 라이언,"문제 4에서 random starting points로 GD를 수행하고 결과를 experimentally demonstrate하라고 했는데, starting points를 몇 개를 잡는지는 자유인가요? 또한 experimentally demonstrate라고 하는 것이 py 파일에서 주석이나 print 등을 이용해야 하는 것인가요, 아니면 py 파일과는 별개로 pdf 파일에 설명해야 하나요?"
3/5/24 15:43,울고있는 제이지,울고있는 제이지님이 들어왔습니다.
3/5/24 15:46,라면먹는 제이지,라면먹는 제이지님이 나갔습니다.
3/5/24 16:11,TA Hyojun,넵 analytic하게 이유를 기술할 필요는 없습니다.
3/5/24 16:11,TA Hyojun,넵 random point의 개수는 따로 정해져 있지 않습니다. 적당한 개수의 random point를 잡아 문제에서 기술된 현상이 일어남을 보여주시면 됩니다.
3/5/24 16:12,TA Hyojun,과제 제출 관련 공지가 etl에 업로드되었으니 확인해 주시면 감사하겠습니다!
3/5/24 16:13,TA chaeju,Please check the annoucement regarding the homework submission on ETL.
3/5/24 16:14,애교뿜뿜 무지,사진
3/5/24 16:14,애교뿜뿜 무지,Hello. I cannot understand why f(thetha)-inf(f(theta)) part is positive. May I have some extra explanations?
3/5/24 16:15,엄지척 튜브,because inf is infimum
3/5/24 16:16,엄지척 튜브,before we assume that inf(f(theta)) > - \inf
3/5/24 16:16,애교뿜뿜 무지,Oh I found it. Thank you!
3/5/24 16:18,손을 번쩍 든 무지,손을 번쩍 든 무지님이 들어왔습니다.
3/5/24 16:31,.,"오늘 일정이 있어 makeup class에 참석하지 못하는데, 오늘 수업도 녹화되어서 올라오는지 궁금합니다"
3/5/24 16:40,TA Gyeongmin,"네, make-up class 또한 녹화본이 올라갈 예정입니다.
Both make-up classes will be recorded and provided."
3/5/24 16:49,기지개 고양이,삭제된 메시지입니다.
3/5/24 16:58,화난 라이언,Is zoom link for today's make-up class same as before?
3/5/24 16:59,옐로카드 프로도,이전링크로 회의진행이 안되는 것 같습니다
3/5/24 17:01,쑥스럽게 인사하는 프로도,@TA Jisun @TA Jaewook @TA kibeom 확인 부탁드립니다..!
3/5/24 17:02,베개를 부비적대는 라이언,베개를 부비적대는 라이언님이 들어왔습니다.
3/5/24 17:05,TA Jisun,지금도 접속이 안되시나요?
3/5/24 17:06,TA Jisun,"https://snu-ac-kr.zoom.us/j/92896163424
Meeting ID: 928 9616 3424
Passcode: 812489"
3/5/24 17:06,옐로카드 프로도,지금 됩니다!
3/5/24 17:23,권투하는 무지,"Hi, I am aware that auditors are not allowed to submit homework. Are the auditors also not allowed to take mid-term and final exams?"
3/5/24 17:36,하트뿅뿅 라이언,하트뿅뿅 라이언님이 들어왔습니다.
3/5/24 18:20,멋쩍은 튜브,"Is mod(k,N) k(mod N)?"
3/5/24 18:22,인사하는 프로도,i think so. it is also explained as k%N
3/5/24 18:23,콘이 웃긴 무지,콘이 웃긴 무지님이 들어왔습니다.
3/5/24 18:52,애교뿜뿜 무지,애교뿜뿜 무지님이 나갔습니다.
3/5/24 19:16,최은석,최은석님이 나갔습니다.
3/5/24 19:57,권투하는 무지,권투하는 무지님이 들어왔습니다.
3/5/24 20:06,TA chaeju,"We have posted an important announcement regarding homework grading scheme and solution provision on ETL, so please make sure to read it."
3/5/24 20:20,Tube als Cheerleader,"On slide 5 of the slides, it says that the optimal value is the infimum of the set of f of feasible values for theta. Why is it not the minimum? Because this would mean that there are problems where the optimal value is not actually a feasible value. Is that true?"
3/5/24 20:31,경례하는 프로도,경례하는 프로도님이 들어왔습니다.
3/5/24 20:39,TA Youngmin,"Every subset of R that are bounded below are guaranteed to have a infimum in R while it may not have a minimum.
Therefore, defining optimal value using infimum, rather than minimum, ables us to discuss general cases.

It is true that the optimal value may not have a corresponding feasible point as the following context of slide 5 suggests.
(A solution may not exist)"
3/5/24 20:45,Tube als Cheerleader,Is R the set of function values of every feasible point?
3/5/24 20:47,TA Youngmin,"R was used to denote ""set of real numbers"""
3/5/24 20:48,인사하는 프로도,"I have a question about the submission format of our homeworks. I prefer using colab, so can I work on colab and submit the ipynb and pdf files downloaded from it?"
3/5/24 20:51,초롱초롱 네오,초롱초롱 네오님이 나갔습니다.
3/5/24 20:52,TA Youngmin,No problem as far as downloaded files are readable. 
3/5/24 21:58,비옷입은 튜브,"are recorded videos of all lectures, not just make up lectures, will be upload on the internet?"
3/5/24 22:14,nnd,yes
3/5/24 22:16,Joshua,Joshua님이 들어왔습니다.
3/6/24 8:30,소심한 네오,소심한 네오님이 들어왔습니다.
3/6/24 9:34,이준희,이준희님이 나갔습니다.
3/6/24 10:18,Apeach in love,Apeach in love님이 들어왔습니다.
3/6/24 10:23,정우성,정우성님이 나갔습니다.
3/6/24 10:28,선풍기 바람 쐬는 어피치,선풍기 바람 쐬는 어피치님이 들어왔습니다.
3/6/24 11:04,건배하는 프로도,건배하는 프로도님이 들어왔습니다.
3/6/24 12:21,경제학도,삭제된 메시지입니다.
3/6/24 12:23,기지개 고양이,"혹시 성적반영비중(중간/기말/과제), 평가방법(절대/상대//드랍포함여부) 등을 알 수 있을까요?

수업 웹사이트에는 정보가 없는 것 같고, 수강신청사이트에 기재된 정보가 맞는지 궁금합니다(대부분은 수신 사이트엔 default로 돼있어서 믿기가 힘들어서 그렇습니다)"
3/6/24 12:24,애교뿜뿜 무지,성적반영비중은 기재된 바와 같을 겁니다
3/6/24 12:24,청소하는 튜브,수업 웹사이트에도 있어요
3/6/24 12:27,기지개 고양이,반영비중은 확인하였습니다. 감사합니다.
3/6/24 12:28,기지개 고양이,혹시 절대평가 기준(최종 성적 기준 컷)을 알 수 있을까요?
3/6/24 12:30,눈물바다 라이언,"Hi, I am considering changing to an auditor. Will you plan to accept new auditors?"
3/6/24 12:37,잠오는 라이언,잠오는 라이언님이 들어왔습니다.
3/6/24 13:50,Ryan working out,Ryan working out님이 나갔습니다.
3/6/24 14:10,부끄러워하는 라이언,부끄러워하는 라이언님이 들어왔습니다.
3/6/24 14:13,아이디어 프로도,아이디어 프로도님이 들어왔습니다.
3/6/24 14:55,주피터,주피터님이 들어왔습니다.
3/6/24 15:24,떨고있는 어피치,떨고있는 어피치님이 나갔습니다.
3/6/24 15:46,빈털터리 제이지,빈털터리 제이지님이 들어왔습니다.
3/6/24 15:47,리듬타는 제이지,리듬타는 제이지님이 들어왔습니다.
3/6/24 16:48,A+ is All you need,A+ is All you need님이 들어왔습니다.
3/6/24 16:59,초롱초롱 어피치,초롱초롱 어피치님이 들어왔습니다.
3/6/24 17:01,소심한 네오,혹시 줌으로 수업 들으시는 분들 소리 들리시나요?
3/6/24 17:01,청소하는 튜브,안들립니다..
3/6/24 17:02,TA Jaewook,이제 들리시나요?
3/6/24 17:02,소심한 네오,네네! 잘 들립니다
3/6/24 17:02,청소하는 튜브,넵
3/6/24 17:02,수강생,넵 들립니다. 감사합니다.
3/6/24 17:03,리듬타는 제이지,리듬타는 제이지님이 나갔습니다.
3/6/24 17:12,tyy,tyy님이 나갔습니다.
3/6/24 17:41,hi,hi님이 들어왔습니다.
3/6/24 17:50,.,.님이 들어왔습니다.
3/6/24 18:07,.,.님이 나갔습니다.
3/6/24 18:59,졸린 무지,졸린 무지님이 나갔습니다.
3/6/24 19:11,눈빛 애교 어피치,"Hi, if I'm understanding right, shouldn't the term be first order?"
3/6/24 19:11,눈빛 애교 어피치,사진
3/6/24 19:19,치즈케이크,"IIRC, the first order-term is the one with the gradient."
3/6/24 19:21,...,It's big O 
3/6/24 19:22,눈빛 애교 어피치,아 big O군요. 감사합니다 ㅎㅎ
3/6/24 20:05,정영준,정영준님이 나갔습니다.
3/6/24 20:39,기지개 고양이,"과제1번 문제5번의 경우, 지시한 대로 작성한 소스코드(ipynb/py)를 직접 과제로 제출하면 되는것이지요?"
3/6/24 20:49,TA Hyojun,넵 맞습니다. 5번 문제는 작성하신 소스코드만 .py 혹은 .ipynb 파일로 제출해주시면 됩니다.
3/6/24 20:50,기지개 고양이,감사합니다!!
3/6/24 20:58,부탁하는 네오,"과제제출 안내에
For the coding problems, you should submit the code file in either .py file or .ipynb file, along with a PDF file that displays the executed results.라고 되어있는데요,
along with a PDF file이라는 게 코딩문제의 풀이에 해당하는 파일이 이론문제랑 별개로 있어야 한다는 것일까요? 아니면 (이론문제)+(코딩문제 설명)을 하나의 pdf파일로 제출해야 하는 것일까요?
더불어 코딩문제가 하나가 아닐 때 파이썬 파일을 하나로 제출해야 하는지 궁금합니다"
3/6/24 21:11,경례하는 프로도,경례하는 프로도님이 나갔습니다.
3/6/24 21:23,떨고있는 어피치,떨고있는 어피치님이 들어왔습니다.
3/6/24 21:39,음료수 마시는 어피치,과제 5번의 경우 행렬 연산 그대로 하는 것보다 연산량 줄이는게 목표인 것 같은데
3/6/24 21:39,오일파스타,오일파스타님이 나갔습니다.
3/6/24 21:39,음료수 마시는 어피치,꼭 필요한 연산만 하면 주어진 형식대로 np.asarray([list comprehension])으로 풀지 않아도 괜찮나요?
3/6/24 21:47,돈다발 들고 좋아하는 무지,돈다발 들고 좋아하는 무지님이 들어왔습니다.
3/6/24 21:48,TA Hyojun,넵 꼭 Hint와 같은 형식으로 코드를 작성하실 필요는 없습니다.
3/6/24 21:48,TA Hyojun,삭제된 메시지입니다.
3/6/24 21:49,TA Hyojun,"코딩 과제 문제 중에는 loss를 plot하라는 등 실행 결과가 필요한 문제가 많습니다.
이와 같은 경우 소스코드만 제출하시면 채점이 어렵기 때문에 소스코드(.py 혹은 .ipynb) 뿐 아니라 실행 결과(.pdf)를 함께 제출해 주시면 됩니다.
pdf와 소스 코드를 각각 하나의 파일로 합쳐서 제출하실 필요는 없지만, 파일이 여러 개인 경우 각각이 잘 구분될 수 있도록 파일명을 바꿔주시면 감사하겠습니다."
3/6/24 21:49,TA Hyojun,"Many coding assignment problems require execution results such as plotting the loss.
In such cases, grading is difficult with only the source code submitted. Therefore, please submit both the source code (.py or .ipynb) and the execution results (.pdf).
You don't need to combine the PDF and source code into one file each, but if there are multiple files, please rename them so that each can be distinguished clearly."
3/6/24 22:16,음료수 마시는 어피치,혹시 강의자료에서 증명한 명제들은 따로 증명없이 사용해도 괜찮나요?
3/6/24 22:23,TA Hyojun,넵 따로 증명 없이 사용하셔도 무방합니다.
3/6/24 23:58,Neo points at you,Neo points at you님이 들어왔습니다.
3/7/24 0:00,열심히 일하는 네오,"문제 3에서의 힌트에서 요구하는 식을 만들어냈는데 그 이후에 어떻게 전개해야하는지 전혀 모르겠네요. 혹시 eigenvalue와 관련한 특정 정리를 써야 풀 수 있는건가요?

거기에 ""diverges for most starting points""의 most starting points를 Lebesgue measure의 관점에서 표현하라는게 잘 모르겠네요."
3/7/24 0:37,TA Youngmin,"When regarding powers of matrices, considering eigenvalues are a common appraoch. As condition related to spectral radius was given, you may want to use it.

Lebesgue measure and the term ""almost everywhere"" was introduced for those who are wondering how ""most"" could be mathematically precised.
If you are unfamiliar with measure theory, it is enough to prove that theta diverges for all starting points except for a lower dimensional set as the remark suggests."
3/7/24 0:38,초롱초롱 무지,초롱초롱 무지님이 나갔습니다.
3/7/24 0:51,열심히 일하는 네오,I don't think we have powers of matrices in problem 3. 
3/7/24 0:52,열심히 일하는 네오,Oh you mean we don't use any theorems about eigenvalues since we don't have powers of matrices.
3/7/24 1:12,TA Youngmin,I recommend considering eigenvalues as a tool for solving the problem.
3/7/24 1:43,_,_님이 들어왔습니다.
3/7/24 2:35,하트뽀뽀 어피치,하트뽀뽀 어피치님이 나갔습니다.
3/7/24 10:33,General Trash,메일 보내드렸습니다! 확인 부탁드립니다.
3/7/24 10:45,일하기 싫은 네오,삭제된 메시지입니다.
3/7/24 11:13,경례하는 프로도,경례하는 프로도님이 들어왔습니다.
3/7/24 12:31,jaehyeok,jaehyeok님이 나갔습니다.
3/7/24 13:12,하트뿅뿅 라이언,"안녕하세요, HW1의 문제들(특히 1번 문항) 모두 분모중심표현을 사용한다고 봐도 무방할까요?"
3/7/24 13:16,불나게 일하는 네오,불나게 일하는 네오님이 나갔습니다.
3/7/24 13:16,TA chaeju,Yes it is. You may found that by comparing the dimension of the both side of part (a).
3/7/24 13:24,.,.님이 들어왔습니다.
3/7/24 14:40,하트뿅뿅 라이언,감사합니다!
3/7/24 14:43,일하기 싫은 네오,삭제된 메시지입니다.
3/7/24 14:50,눈빛 애교 어피치,눈빛 애교 어피치님이 나갔습니다.
3/7/24 14:57,눈물바다에 빠진 lion,눈물바다에 빠진 lion님이 들어왔습니다.
